NAV Date,NAV (Rs)
07-02-2019,40.028
06-02-2019,39.6264
05-02-2019,39.5859
04-02-2019,39.8487
01-02-2019,40.2279
31-01-2019,40.08
30-01-2019,39.7196
29-01-2019,39.4034
28-01-2019,39.4993
25-01-2019,40.3094
24-01-2019,40.8338
23-01-2019,41.106
22-01-2019,41.1881
21-01-2019,41.427
18-01-2019,41.6043
17-01-2019,41.8093
16-01-2019,41.8986
15-01-2019,41.834
14-01-2019,41.5491
11-01-2019,41.708
10-01-2019,41.8255
09-01-2019,41.8353
08-01-2019,41.801
07-01-2019,41.7771
04-01-2019,41.7891
03-01-2019,41.7615
02-01-2019,41.9781
01-01-2019,42.1899
31-12-2018,42.1049
28-12-2018,41.8662
27-12-2018,41.6854
26-12-2018,41.5951
24-12-2018,41.6917
21-12-2018,42.0404
20-12-2018,42.5388
19-12-2018,42.5495
18-12-2018,42.1106
17-12-2018,42.0129
14-12-2018,41.8759
13-12-2018,41.8814
12-12-2018,41.5714
11-12-2018,40.6847
10-12-2018,40.2066
07-12-2018,40.8492
06-12-2018,40.8714
05-12-2018,41.3862
04-12-2018,41.8181
03-12-2018,41.8187
30-11-2018,41.8113
29-11-2018,41.6096
28-11-2018,41.695
27-11-2018,41.9199
26-11-2018,41.6468
22-11-2018,41.717
21-11-2018,41.7981
20-11-2018,41.7086
19-11-2018,42.1167
16-11-2018,42.0247
15-11-2018,42.1709
14-11-2018,42.1663
13-11-2018,42.3257
12-11-2018,42.2125
09-11-2018,42.4631
06-11-2018,41.8382
05-11-2018,41.6656
02-11-2018,41.847
01-11-2018,41.5901
